ID Buku,Judul,Pencipta,Rating,ISBN,Kode Bahasa,Review,Tanggal Terbit,Penerbit
1,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPré,4.57,0439785960,eng,27591,16/09/2006,Scholastic Inc.
2,Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPré,4.49,0439358078,eng,29221,01/09/2004,Scholastic Inc.
4,Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,4.42,0439554896,eng,244,01/11/2003,Scholastic
5,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPré,4.56,043965548X,eng,36325,01/05/2004,Scholastic Inc.
8,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling/Mary GrandPré,4.78,0439682584,eng,164,13/09/2004,Scholastic
10,Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,4.73,0439827604,eng,808,12/09/2005,Scholastic
14,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,4.22,1400052920,eng,460,03/08/2004,Crown
16,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams/Stephen Fry,4.22,0739322206,eng,253,23/03/2005,Random House Audio
18,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,0517149257,eng,195,17/01/1996,Wings Books
21,A Short History of Nearly Everything,Bill Bryson,4.21,076790818X,eng,9396,14/09/2004,Broadway Books
22,Bill Bryson's African Diary,Bill Bryson,3.44,0767915062,eng,499,03/12/2002,Broadway Books
23,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,3.87,0767910435,eng,131,14/09/2004,Broadway Books
24,In a Sunburned Country,Bill Bryson,4.07,0767903862,eng,4245,15/05/2001,Broadway Books
26,The Lost Continent: Travels in Small Town America,Bill Bryson,3.83,0060920084,eng,2257,28/08/1990,William Morrow Paperbacks
27,Neither Here nor There: Travels in Europe,Bill Bryson,3.86,0380713802,eng,2238,28/03/1993,William Morrow Paperbacks
28,Notes from a Small Island,Bill Bryson,3.91,0380727501,eng,3301,28/05/1997,William Morrow Paperbacks
29,The Mother Tongue: English and How It Got That Way,Bill Bryson,3.93,0380715430,eng,2085,28/09/1991,William Morrow Paperbacks
30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.59,0345538374,eng,1550,25/09/2012,Ballantine Books
31,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.5,0618517650,eng,91,21/10/2004,Houghton Mifflin Harcourt
34,The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,4.36,0618346252,eng,13670,05/09/2003,Houghton Mifflin Harcourt
35,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien/Alan  Lee,4.5,0618260587,en-US,140,01/10/2002,Houghton Mifflin Harcourt
36,The Lord of the Rings: Weapons and Warfare,Chris   Smith/Christopher  Lee/Richard Taylor,4.53,0618391002,eng,46,05/11/2003,Houghton Mifflin Harcourt
37,The Lord of the Rings: Complete Visual Companion,Jude Fisher,4.5,0618510826,eng,6,15/11/2004,Houghton Mifflin Harcourt
45,Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz,3.84,097669400X,eng,59,28/07/2005,Pragmatic Bookshelf
50,Hatchet (Brian's Saga  #1),Gary Paulsen,3.72,0689840926,eng,12017,01/04/2000,Atheneum Books for Young Readers: Richard Jackson Books
51,"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes/Edward Sciranko/Keith Vasconcelles,4.0,1557344493,eng,2,28/08/1994,Teacher Created Resources
53,Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,3.88,0385326505,eng,334,23/01/2001,Delacorte Press
54,Molly Hatchet - 5 of the Best,Molly Hatchet,4.33,1575606240,eng,0,10/06/2003,Cherry Lane Music Company
55,Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,3.45,1595580271,en-US,16,01/11/2005,The New Press
57,A Changeling for All Seasons (Changeling Seasons #1),Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati,3.76,1595962808,eng,4,01/11/2005,Changeling Press
58,Changeling (Changeling  #1),Delia Sherman,3.6,0670059676,eng,111,17/08/2006,Viking Juvenile
59,The Changeling Sea,Patricia A. McKillip,4.06,0141312629,eng,302,14/04/2003,Firebird
61,The Changeling,Zilpha Keatley Snyder,4.17,0595321801,eng,96,08/06/2004,iUniverse
63,The Changeling,Kate Horsley,3.55,1590301943,eng,43,12/04/2005,Shambhala
66,The Changeling (Daughters of England  #15),Philippa Carr,3.98,0449146979,eng,12,28/08/1990,Ivy Books
67,The Known World,Edward P. Jones,3.83,0061159174,eng,2626,29/08/2006,Amistad
68,The Known World,Edward P. Jones/Kevin R. Free,3.83,006076273X,en-US,12,15/06/2004,HarperAudio
69,The Known World,Edward P. Jones,3.83,0060749911,eng,3,15/06/2004,Harper
71,Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,3.83,0273704745,eng,82,15/05/2006,FT Press
72,Artesia: Adventures in the Known World,Mark Smylie,4.13,1932386106,eng,4,14/12/2005,Archaia
74,The John McPhee Reader (John McPhee Reader  #1),John McPhee/William Howarth,4.42,0374517193,eng,37,01/06/1982,Farrar  Straus and Giroux
